INVERSIÓN CREDITICIA Y PRINCIPALES MAGNITUDES 2023  DEL ICO  (datos a 31/12/2023);;;
Conceptos; (Millones €);;
Inversión Crediticia;20.822;;
Préstamos Mediación;6.807;;
Financiación Directa;14.014;;
Préstamos directos;12.451;;
Bonos Corporativos;1.155;;
Pagarés MARF;409;;
Avales*;554;;
Activos Financieros y otros;10.835;;
TOTAL BALANCE;31.657;;
Deuda financiera;23.155;;
Otros pasivos;2.813;;
Patrimonio neto;5.689;;
* Saldo disponible por avales concedidos. No suma a efectos de balance.;;;
